Y,X1,X2,X3
37975300,79,950,506
298934664,578,786,658
52361226,114,541,849
239580744,584,871,471
2788992,72,144,269
28335104,472,448,134
135732744,974,441,316
71625128,713,232,433
23291537,911,37,691
116473500,750,858,181
4581504,873,64,82
31538430,738,105,407
11554900,971,850,14
19242968,472,691,59
12118000,50,332,730
311018448,709,888,494
128525309,457,407,691
67897452,151,636,707
8695300,977,356,25
375031272,456,847,971
528550,1,961,550
41380227,189,477,459
25970280,60,602,719
113765010,907,678,185
7281846,26,759,369
500161494,942,751,707
251769445,709,395,899
351165696,768,581,787
144219496,862,302,554
26934600,363,100,742
276593716,452,749,817
15512640,429,452,80
123837786,813,958,159
141962952,604,911,258
15311268,903,314,54
498635130,795,994,631
82307232,992,189,439
342936720,756,740,613
316000,80,79,50
198701568,642,403,768
20545596,843,677,36
197357760,240,834,986
119686896,668,237,756
21330540,486,114,385
124080768,368,756,446
7359450,645,326,35
70037952,146,789,608
19788576,912,571,38
193411350,953,495,410
1127520,972,20,58
21126480,339,80,779
104680660,479,490,446
30569600,233,164,800
403427696,658,886,692
57242094,881,833,78
148788900,585,324,785
118730080,280,908,467
19768056,563,132,266
324040024,341,994,956
86676480,480,352,513
8888144,41,272,797
9410112,31,544,558
85259410,283,641,470
85571750,407,841,250
1873400,136,475,29
100734144,241,622,672
108703130,710,283,541
138198774,259,678,787
28356544,136,389,536
14890200,65,690,332
8260096,292,442,64
1378860,140,21,469
114972340,346,658,505
58865940,895,108,609
31445112,354,212,419
15426944,832,254,73
4722460,607,10,778
1923480,195,72,137
146794464,249,712,828
200979444,829,534,454
69300686,346,923,217
393783936,767,672,764
55101060,630,226,387
812443602,983,991,834
3231063,23,297,473
131051232,639,377,544
6726764,23,506,578
159082980,706,435,518
2157894,449,27,178
179160956,377,676,703
245959680,956,402,640
89664120,595,161,936
46161900,150,834,369
1886040,36,845,62
31465368,451,72,969
297528000,805,800,462
5568783,667,69,121
78709248,558,152,928
230047136,583,418,944
6547398,587,39,286
268868655,737,605,603
4272800,98,545,80
10823463,49,243,909
106945488,556,822,234
10737642,138,199,391
72125262,261,583,474
8072295,203,241,165
229304160,855,272,986
68765400,225,604,506
108445776,514,298,708
227210100,745,780,391
45187883,229,353,559
18073600,640,40,706
89258640,940,492,193
79168320,378,224,935
337617280,442,880,868
104382918,978,531,201
345097984,896,451,854
37293750,918,325,125
264193911,643,643,639
268588064,628,554,772
49859526,841,82,723
98340060,996,403,245
55131940,659,235,356
2826726,74,107,357
1387872,79,144,122
439145784,758,693,836
254039130,743,655,522
18533394,297,761,82
159500030,835,641,298
40822320,220,658,282
103899510,297,390,897
29077132,124,241,973
180460544,433,512,814
244362020,389,641,980
616568128,953,704,919
192320128,632,572,532
54996480,120,528,868
75259520,560,214,628
3887524,124,293,107
7146934,827,58,149
579603600,890,972,670
57369168,246,246,948
139295057,263,979,541
232129272,482,804,599
1573390,7,845,266
55371681,201,537,513
52246320,685,168,454
211384040,710,868,343
11010120,878,30,418
140403204,766,306,599
24563232,173,612,232
116538114,721,869,186
7604872,88,971,89
3782856,154,69,356
224670582,654,373,921
202730619,273,883,841
151169984,863,391,448
20432720,31,749,880
36275316,581,86,726
133997770,683,853,230
4188696,74,356,159
22716400,190,305,392
292071208,533,958,572
109994112,618,206,864
11264319,291,69,561
443620800,972,652,700
53214400,632,100,842
26519204,337,382,206
7365600,186,198,200
7886268,54,274,533
21824000,200,110,992
34412784,854,92,438
105001650,195,579,930
244363176,642,981,388
5860800,444,75,176
14278614,399,617,58
27557600,190,490,296
48767670,366,189,705
7538820,389,204,95
273661245,989,715,387
12001920,893,105,128
166714640,752,505,439
347920482,949,602,609
19950480,458,180,242
32014620,342,851,110
641231514,726,921,959
39245868,362,634,171
173053800,900,878,219
148089054,411,514,701
45801600,367,156,800
187270720,590,728,436
622872,82,211,36
2358720,16,390,378
31716,9,4,881
4488645,35,197,651
32799256,238,263,524
200487546,413,894,543
42279000,829,136,375
14184205,35,769,527
158345616,506,472,663
288258,2,321,449
19488832,304,188,341
143077844,964,233,637
37828608,524,282,256
358053696,792,702,644
92061216,734,134,936
4851033,411,29,407
270838080,729,432,860
48060320,616,94,830
12822264,728,309,57
68731460,212,785,413
30336768,112,684,396
111925891,413,347,781
548175054,939,686,851
133652750,350,583,655
82672480,439,440,428
544173420,813,683,980
174136578,501,427,814
16003533,403,61,651
28824957,189,349,437
145480824,584,267,933
6796530,555,13,942
39570532,443,137,652
4386564,182,309,78
47176424,554,698,122
11270112,651,32,541
73716769,889,821,101
17016048,48,993,357
27889236,311,846,106
58801248,528,414,269
10392440,17,620,986
171637785,295,891,653
383886184,523,878,836
336957524,964,431,811
25344000,352,225,320
427446600,938,620,735
9124920,476,27,710
28441530,219,481,270
31805810,215,323,458
40256580,949,84,505
423475650,585,955,758
27387276,141,196,991
87569482,806,913,119
15218952,56,471,577
52671168,216,652,374
16396884,414,246,161
4965471,63,269,293
249650100,918,370,735
67587696,121,648,862
7504896,48,224,698
11814660,351,198,170
170727255,285,857,699
115194051,831,483,287
6602715,405,17,959
74740050,719,105,990
198114444,786,737,342
217476546,437,578,861
425720295,693,845,727
3587010,58,465,133
35736074,374,107,893
13011936,536,289,84
2759400,36,438,175
134290764,261,809,636
253109600,629,800,503
31614000,33,1000,958
12951244,82,503,314
76393200,260,498,590
187014000,500,426,878
361808640,760,783,608
199133172,483,731,564
12333800,415,40,743
103875912,618,667,252
32263875,357,241,375
27755784,633,504,87
1471430,547,538,5
60693600,825,88,836
18903378,257,533,138
263169000,750,684,513
82069152,682,218,552
107200856,548,314,623
31548960,327,603,160
79510440,811,860,114
41620080,202,340,606
64667400,445,346,420
267764112,627,656,651
24774903,53,597,783
199304280,738,420,643
5962140,305,36,543
314272000,736,500,854
31026975,523,75,791
106179436,509,484,431
11210177,59,253,751
34852272,404,158,546
128800800,804,300,534
137341215,285,859,561
20988072,661,294,108
156258088,854,298,614
312263112,557,658,852
4427080,652,35,194
366067350,747,495,990
21168504,866,582,42
142258941,561,543,467
194853600,620,776,405
305143540,884,655,527
6151392,31,424,468
52759976,391,404,334
10728925,575,47,397
290551235,635,793,577
52389351,747,301,233
55420800,502,192,575
32136252,474,218,311
27672678,954,33,879
354673620,505,929,756
405072504,662,739,828
225921735,915,507,487
1439144,868,829,2
12411360,612,169,120
325864440,915,836,426
96873324,817,246,482
7098624,72,632,156
539561142,873,717,862
234921500,706,605,550
927936,716,54,24
301430684,652,719,643
197186468,866,362,629
89647776,762,456,258
71771472,688,603,173
243748896,489,592,842
113850000,200,825,690
574301421,989,603,963
10109484,521,63,308
140829480,636,366,605
66670560,253,360,732
205852645,505,479,851
18968928,213,484,184
28635596,94,454,671
1643688,617,37,72
47030984,839,308,182
20885940,38,558,985
1005669,313,357,9
339366000,978,347,1000
10703640,24,955,467
177354000,668,375,708
278574264,573,564,862
9870336,384,168,153
77165010,606,653,195
75257100,342,978,225
647479578,921,899,782
64491496,302,394,542
51692608,101,704,727
174767892,871,727,276
141784,74,4,479
564197088,754,786,952
56798980,262,665,326
1912464,684,12,233
50311800,210,363,660
77217140,715,266,406
72800290,866,731,115
528910720,755,842,832
19380600,60,485,666
72830716,698,203,514
237827520,753,672,470
32290650,350,459,201
2235808,641,218,16
265263852,892,343,867
32542980,148,411,535
325655512,559,824,707
120771552,562,968,222
5556320,656,154,55
205714944,647,368,864
126050274,498,709,357
113398125,375,307,985
22115184,61,728,498
138585780,191,870,834
18659936,142,172,764
32897417,79,707,589
42208320,571,192,385
110762256,186,737,808
14062230,765,202,91
69340700,130,715,746
300216004,586,638,803
231176400,910,870,292
2068730,85,283,86
65006487,637,153,667
480910305,955,687,733
283622256,738,804,478
805322,427,23,82
134551536,548,553,444
193181275,881,245,895
14326104,73,408,481
140899176,396,599,594
118570760,440,959,281
242417331,663,921,397
116541880,505,317,728
9414600,284,442,75
727954752,798,983,928
6754800,866,30,260
97552434,739,147,898
492187732,842,662,883
86355192,563,996,154
22863776,106,884,244
79358016,186,536,796
177462600,248,987,725
154968576,994,406,384
58785900,841,75,932
126564048,442,582,492
144469164,301,851,564
137772712,539,359,712
454196588,787,647,892
139774506,877,303,526
46353510,457,115,882
1287678,62,161,129
47082000,95,600,826
118820740,479,785,316
324255426,506,681,941
347023980,570,894,681
128266032,276,892,521
14234220,252,143,395
19040,28,5,136
189729540,231,972,845
41657920,464,670,134
181429248,858,224,944
155119604,769,422,478
10863016,692,334,47
69556470,995,573,122
4167408,168,157,158
49802610,858,95,611
361676700,765,614,770
81561543,673,199,609
30625,49,5,125
80192064,488,167,984
230965050,905,705,362
82899180,241,546,630
407230880,868,740,634
85948160,332,320,809
68803735,649,233,455
114783515,443,385,673
581473984,832,839,833
88440768,702,508,248
113277069,513,527,419
58126266,318,573,319
666120,122,12,455
137276832,758,539,336
73165496,439,664,251
95604300,725,324,407
21197538,537,258,153
86765952,312,764,364
93024960,763,508,240
331206151,541,659,929
133118510,371,677,530
303795,129,471,5
4787772,332,33,437
79738125,625,989,129
45237312,557,192,423
5319510,694,35,219
42467320,392,235,461
160260870,583,770,357
10530274,46,851,269
110409944,524,274,769
46104075,453,177,575
601768,107,37,152
33248556,418,81,982
149715466,482,383,811
1480072,44,139,242
295574400,622,825,576
3487400,280,47,265
315351517,727,547,793
1141140,66,26,665
179646,158,379,3
435409840,848,515,997
5811456,184,188,168
6184260,705,204,43
83766000,607,368,375
258621480,585,584,757
388548960,928,515,813
429246081,549,817,957
39306288,76,786,658
146782440,954,314,490
90973596,357,958,266
22808628,102,909,246
103815600,714,727,200
11853450,45,530,497
124599600,664,695,270
29046248,773,122,308
211415400,525,504,799
146251154,193,958,791
102824960,224,608,755
20479256,392,587,89
56809350,249,351,650
76728960,173,616,720
624095064,934,807,828
59637732,946,266,237
60693288,124,841,582
323967600,648,505,990
73061730,945,86,899
43814592,129,464,732
177080832,498,768,463
80898048,126,912,704
26514400,184,524,275
22336083,77,501,579
7765560,296,159,165
75015234,581,162,797
39821139,43,999,927
39239640,891,367,120
68544023,149,841,547
547558704,744,826,891
55771520,844,236,280
786312,4,201,978
21728520,118,930,198
299906424,516,617,942
70907616,702,856,118
204130680,213,970,988
551540,115,11,436
15535380,470,787,42
241583760,885,726,376
52224231,709,571,129
26763264,256,242,432
31595151,259,157,777
62959260,195,887,364
257649068,764,563,599
82964544,773,192,559
23390640,189,130,952
72643200,94,805,960
2956932,342,22,393
1811888,124,562,26
190345928,536,937,379
223027200,320,968,720
7347450,150,73,671
4142424,132,923,34
6699224,217,454,68
351020450,710,979,505
43991358,229,317,606
95016000,480,370,535
15499536,312,118,421
6009360,980,84,73
581567480,835,962,724
380247000,760,525,953
2759724,506,606,9
114947880,696,335,493
73001250,309,450,525
87971832,767,177,648
102769359,667,161,957
5871720,167,586,60
122174875,205,775,769
18011714,854,161,131
116774,133,878,1
273982464,992,822,336
9742725,95,129,795
42977400,863,166,300
21099822,769,102,269
110076636,246,458,977
14098500,723,156,125
10316790,165,102,613
93816072,808,291,399
39109350,98,425,939
128623650,995,417,310
379214800,460,940,877
122695540,418,745,394
5086575,111,235,195
4915034,613,211,38
171554240,815,286,736
110593580,970,218,523
12225585,205,309,193
1220608,128,32,298
36784896,908,844,48
456878256,947,912,529
707593468,809,898,974
85593504,537,586,272
9185648,458,23,872
30819204,813,324,117
284791140,729,510,766
217469440,680,608,526
55668424,259,268,802
68187952,944,607,119
176091680,368,878,545
95072784,372,362,706
61381320,156,490,803
7228320,185,814,48
56118000,750,398,188
28678320,108,710,374
29446828,107,428,643
67053000,125,721,744
178258104,996,549,326
249890560,640,394,991
56484036,266,282,753
280718060,686,542,755
1932207,3,683,943
24618500,100,265,929
94841368,556,173,986
708025500,741,975,980
13541792,374,62,584
1111500,190,325,18
166950000,1000,175,954
10593220,110,269,358
23051952,99,924,252
365061774,462,877,901
49979345,505,299,331
383547280,890,523,824
16114488,822,116,169
22586695,239,461,205
90687648,496,186,983
331982497,931,421,847
25193700,210,930,129
39698043,121,919,357
326676850,433,955,790
377546334,678,713,781
32490150,957,50,679
32119236,463,564,123
4231520,530,499,16
31258962,249,686,183
109261152,416,379,693
50784150,173,950,309
88118820,522,331,510
74889360,312,945,254
3799950,245,282,55
7135616,32,428,521
28963600,296,515,190
14519472,257,107,528
129771912,439,904,327
335024704,749,482,928
116941016,851,178,772
224138250,315,749,950
95485905,447,909,235
287260050,798,385,935
64809072,474,648,211
104090250,370,465,605
293854176,631,588,792
47500008,111,718,596
9900828,202,126,389
6895480,215,152,211
36527796,279,284,461
408348832,764,568,941
10217136,323,48,659
124205400,408,825,369
74661116,148,641,787
40557780,177,603,380
187290900,270,710,977
16227864,237,108,634
4279680,36,743,160
339508260,987,468,735
259051776,492,866,608
97113344,824,232,508
257576756,359,991,724
50393574,353,206,693
8831900,620,407,35
28495696,292,787,124
88795860,813,127,860
211101360,668,458,690
82940130,390,287,741
106660816,398,278,964
24966738,321,87,894
67790632,754,338,266
12220753,587,109,191
18632250,585,70,455
3216434,766,13,323
103624656,604,493,348
1948320,176,205,54
113404908,436,939,277
176484420,474,591,630
9538560,414,96,240
1451970,51,146,195
9066816,432,583,36
39595920,637,84,740
44611296,856,258,202
315907680,456,940,737
1362020,20,451,151
2190370,83,290,91
8506504,83,557,184
8845100,121,340,215
483619920,695,912,763
214342800,474,475,952
181631736,759,767,312
364160448,648,796,706
20212,31,2,326
30392362,247,517,238
13042944,74,288,612
6584400,354,465,40
2754752,208,473,28
1247118,599,3,694
1281800,986,65,20
65011167,321,351,577
81853200,159,624,825
14677271,61,259,929
177520800,458,400,969
253016792,658,868,443
337903488,624,654,828
166724604,467,423,844
272711040,721,960,394
8911350,90,287,345
34157760,182,391,480
69817368,136,811,633
75107544,186,643,628
30507246,414,847,87
18090770,305,631,94
32770192,317,208,497
2628768,16,834,197
105161840,695,784,193
212907420,657,491,660
192671136,224,999,861
555859791,899,927,667
124379001,313,659,603
11098620,279,78,510
87470064,699,316,396
378808794,823,843,546
3215520,56,180,319
29408560,412,215,332
49247802,789,606,103
165243591,753,659,333
31395996,492,239,267
13305000,120,887,125
544020620,814,970,689
360287570,635,773,734
1895364,978,19,102
26694082,563,314,151
76651565,163,577,815
130107264,672,388,499
189960240,645,316,932
223579642,829,286,943
12152320,188,320,202
118047456,612,282,684
87098895,699,351,355
64255828,338,518,367
279889247,367,779,979
150178752,699,373,576
14129958,19,951,782
360297645,745,989,489
134491500,450,418,715
14216112,144,367,269
532368432,978,888,613
378714,381,1,994
329897000,895,380,970
67919775,619,825,133
88114821,877,321,313
681580768,836,914,892
3333231,387,9,957
17408952,374,54,862
19974436,181,587,188
236848000,565,655,640
19067580,111,210,818
361255440,637,834,680
3995712,12,991,336
82514250,525,195,806
192784896,544,828,428
28833678,314,513,179
44995824,978,162,284
238167180,436,597,915
759251349,877,963,899
73484736,354,998,208
62665190,218,301,955
63447576,642,124,797
93757334,814,283,407
54060048,707,708,108
325969493,643,613,827
181165464,958,927,204
65297664,603,384,282
20057938,739,41,662
82642032,176,527,891
147630525,579,775,329
33782400,204,552,300
7444710,189,202,195
32395500,939,500,69
123282600,394,350,894
130702110,413,411,770
13794000,250,627,88
33111720,138,516,465
61596000,354,580,300
33486572,446,173,434
11542848,24,761,632
45953362,679,137,494
98886375,375,433,609
73301544,674,171,636
46798560,314,648,230
85925952,303,336,844
135035852,161,934,898
59534412,983,98,618
482872014,873,694,797
36939591,247,783,191
89417640,258,806,430
76907478,551,258,541
240244620,349,924,745
6223636,277,548,41
35729722,823,886,49
2614168,31,127,664
23698500,925,84,305
132737130,618,387,555
137887070,466,415,713
1601712,147,12,908
51901416,159,469,696
113790215,485,277,847
61345350,187,405,810
8706960,464,45,417
60628502,583,163,638
182759904,549,404,824
7099456,182,736,53
106290438,879,587,206
93032928,632,348,423
344360484,494,993,702
492338000,550,920,973
104183952,634,246,668
19089600,24,970,820
88326832,187,557,848
181102338,887,597,342
8412624,226,517,72
22458870,233,765,126
5756625,645,75,119
566142336,992,747,764
330451968,616,704,762
494296932,956,893,579
41304096,144,829,346
1633533,33,839,59
406626,1,671,606
59908550,530,611,185
287107632,456,798,789
370885900,385,980,983
16520154,166,147,677
71784960,719,512,195
188852768,611,743,416
258152200,290,947,940
243445536,389,656,954
64006054,721,119,746
58607968,764,172,446
18996516,267,847,84
24312750,825,842,35
672866700,890,957,790
367775478,866,963,441
3929575,535,13,565
60166,898,67,1
18253266,397,194,237
230378610,609,905,418
39022200,95,630,652
378360024,714,967,548
22205240,118,388,485
60193584,717,477,176
29658304,43,832,829
